Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,89540435.95,140695166.3,378206657,179116561.4,219416087.5,347165291.8,253367821.6,348624717.3,627710802.4,822731630.2,803546453.8,828571904.1,788917115.2,320000000,320000000,320000000
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151800000,332000000,307100000,427300000,550900000,300300000,504140000,407200000,597800000,699300000,733570000,888748582.3,1160672105,1289704316,1359467325,1468020000,1865581564,1717698012,1586574271,1552078514,1419772515,1281848114,1421007454,1290863508,1306009167,1311822432,1458210056,1472812242,1465987212,1718355918,1745245136,2036169283
Algeria,DZA,211000000,238000000,227000000,225000000,202000000,266000000,255000000,349000000,393000000,417000000,406000000,447000000,507000000,392000000,329000000,313000000,358000000,487000000,379000000,345000000,352000000,1290000000,1390000000,1140000000,1395000000,1120000000,880000000,1060000000,1060000000,790000000,790000000,670000000,1070000000,1750000000,2460000000,170000000,189000000,99004563.35,103631887.2,150336961.5,196589288,202869816.2,214841268.6,209601443.4,2452442617,1997393458,1989023597,1791887073,1984998399,1785838683,1699608935,1791896709,1704712868,1867646030
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21100000,47416323.74,53001417.77,44577777.05,48000000
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5142000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,82084000,162358.5,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,3445473.468,8053050.894,12631149.32,14005491.48,12066567.17
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11185185.43,11744444.85,12337037.09,13196296.69,12533333.78,3048148.155,2714814.901,11629630.09,11948147.77,3333333.254,8940740.741,9537037.037,18755555.56,18394444.44,17342962.96,23676666.67,14242166.67,16372237.04,17601625.93,29018120.69,29202071.88,30352179.8,29719238.83,27817357.3,28924211.8,29296532.44,29845308.17,29967174.28,31849221.57,31244412.26,26705675.65,24020044.35,32768265.32,36875282.22,36220490.74,45265850.37,34810853.7,34879798.52
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,26000000,42000000,56000000,42000000,28000000,28000000,32000000,27000000,32000000,34000000,30280000.69,26559999.47,22840000.15,19120000.84,15399999.62,57700000.76,62400001.53,63600000,65000000,65700000,68500000,64300000,86343658.59,189600000,206630000,273420000,311780000,432090000,540635441.9,606498926.5,705144403.4,628542376.1,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,561398444.7,648090050,902789422,1056459896,1009693899
Armenia,ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71350000,153730000,228986400,166647970,182652132,182160000,209240000,263890000,335860000,787519510,915231161.8,1169173063,1644375091,1904067123,1439809232,1669336819,1798624692,1914983997,2192193827,2078618315,1491475903,1382330887,1538655752,1487814908,1527937457,1327006085,1556822544,2031342937,1451764406
Australia,AUS,180320037.8,176046508.8,228958923.3,280555023.2,308759124.8,286614196.8,305269104,326544830.3,415642852.8,495797180.2,631592773.4,740711547.9,771140441.9,900273193.4,956123474.1,1009029114,1053348999,1396266846,1884704224,2402261230,2369583740,2484919434,1926091797,1101867798,1276966675,438888326.4,517894423.7,538747822.2,501585257.2,531812423.8,518334052.9,486744685.8,465722534,651572145.1,824729101.2,940407766.6,1014841491,1341851616,1526025147,1334648953,1864472761,2449287569,2440634975,2461137537,2329656677,2174651380,2056844753,2001928453,1867930551,1762645595,1197283915,936423063.2,1307030459,1727370708
Austria,AUT,16576923.37,24760213.85,36248191.83,52594650.27,80947891.24,87247398.38,105288040.2,118988021.9,154029663.1,198398651.1,244725067.1,223906967.2,220660125.7,214508590.7,197660034.2,201390884.4,303058471.7,400337341.3,448963897.7,469524231,634832336.4,772377197.3,815280883.8,768971069.3,844941223.1,1012422485,984293640.1,915090698.2,1416633179,1809788330,1804517334,1774000488,1985329834,2496145508,2520989014,2313507128,2517171821,2915622152,3189808743,3101681749,2983488446,3250804926,3028188699,3248309533,3239901779,2863606817,2887576591,2956934246,3022591419,2996058680,3026771046,3191616713,3010700898,3262189742
