country_name,country_code,pop_fem,rights_passport,rights_divorce,rights_bank,rights_mobility,rights_inherit,rights_property,rights_noobey,rights_domviol,rights_sharedassets,rights_employ,rights_employharr,fertility,fertility_ad,contracept,maternalmort,schoolenroll_female,schoolenroll_male,literacy_female,literacy_male,college_female,college_male,employed_female,employed_male,gini,gdp_percapita
Afghanistan,AFG,49.54100711,1,0,1,0,0,1,0,0,1,0,1,4.932,65.339,NA,551,NA,NA,44.17171097,83.40000153,1.536090016,6.560190201,3.779,60.977,NA,357.2611528
Albania,ALB,50.54947503,1,1,1,1,1,1,1,1,1,1,1,1.355,12.827,NA,8,93.09468079,99.60262299,99.90000153,99.09999847,21.36063766,18.23866653,47.649,61.244,NA,6846.426694
Algeria,DZA,48.9705214,0,0,1,1,0,1,1,1,1,0,1,2.817,8.977,NA,64,106.8648987,109.7617264,NA,NA,NA,NA,10.974,60.585,NA,4961.552577
American Samoa,ASM,49.464234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.305,34.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18017.45894
Andorra,AND,48.82002384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.071,3.527,NA,17,89.9379425,90.3535614,NA,NA,26.06999969,24,NA,NA,NA,42414.05901
Angola,AGO,50.53626449,1,1,1,1,1,1,1,1,1,1,1,5.209,141.978,NA,185,85.16953172,88.23277859,80.69999695,85.90000153,NA,NA,62.395,66.856,NA,2929.694455
Antigua and Barbuda,ATG,52.42352434,1,1,1,1,1,1,1,1,1,1,0,1.58,33.469,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,20105.19891
Argentina,ARG,50.38941018,1,1,1,1,1,1,1,1,1,1,1,1.482,25.767,NA,39,110.1189804,107.4022217,NA,NA,NA,NA,47.884,67.062,40.7,13935.68111
Armenia,ARM,53.69674144,1,1,1,1,1,1,1,1,1,1,0,1.7,13.487,NA,27,92.27925873,93.46453094,NA,NA,28.60647583,27.89679146,49.65,59.078,27.9,6571.974455
Aruba,ABW,52.7926741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.615,18.768,NA,NA,106.2017593,103.1801224,NA,NA,NA,NA,NA,NA,NA,30559.53353
Australia,AUS,50.3817452,1,1,1,1,1,1,1,1,1,1,1,1.63,6.747,NA,4,99.22286224,99.04808044,NA,NA,40.02000046,33.54000092,60.026,68.539,NA,64997.01365
Austria,AUT,50.79033144,1,1,1,1,1,1,1,1,1,1,1,1.41,4.205,NA,7,100.3845596,101.1429596,NA,NA,NA,NA,53.016,62.9,30.9,52176.66491
Azerbaijan,AZE,51.0283912,1,1,1,1,1,1,1,1,1,1,1,1.67,35.293,NA,32,99.46383667,100.1116562,NA,NA,16.3901062,18.9726429,57.471,63.59,NA,7770.594223
"Bahamas, The",BHS,52.14482101,1,0,1,1,1,1,1,1,1,1,1,1.379,24.679,NA,80,NA,NA,NA,NA,NA,NA,60.365,70.938,NA,34957.16133
Bahrain,BHR,38.02712562,1,0,1,0,0,1,0,1,1,1,1,1.839,8.122,NA,5,92.67269897,92.0281601,99,99,35.72999954,26.26000023,40.877,85.172,NA,30470.52193
Bangladesh,BGD,50.76338211,1,0,1,1,0,1,1,1,1,0,1,2.179,73.128,64,131,123.0870712,112.4362624,NA,NA,5.076430798,10.08426476,41.552,77.786,33.4,2716.485928
Barbados,BRB,52.03583206,0,1,1,1,1,1,1,1,1,1,1,1.712,45.848,NA,38,94.02446747,97.08338165,NA,NA,NA,NA,55.348,60.971,NA,22164.02603
Belarus,BLR,53.40402231,1,1,1,1,1,1,1,1,1,1,0,1.326,9.903,NA,1,92.85453796,96.48703003,NA,NA,NA,NA,56.186,68.349,NA,7994.648061
Belgium,BEL,50.71554104,1,1,1,1,1,1,1,1,1,1,1,1.53,4.372,NA,11,102.1343079,102.2177734,NA,NA,41.25479126,37.42282486,47.4,55.855,26.4,50822.25185
Belize,BLZ,49.61599869,0,1,1,1,1,1,1,1,1,0,1,1.949,53.404,NA,110,98.83339691,100.9889984,NA,NA,NA,NA,42.22,70.816,NA,7068.454783
Benin,BEN,49.87857117,1,1,1,1,1,1,1,1,1,1,1,4.634,78.86,22.4,547,108.67453,117.3140411,59.09999847,73.59999847,2.445764303,7.587432861,73.163,75.867,NA,1266.42711
Bermuda,BMU,50.99074889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.397,1.614,NA,NA,85.64862104,85.20382486,NA,NA,NA,NA,NA,NA,NA,121613.94
Bhutan,BTN,46.44864863,1,0,1,1,1,1,1,1,1,1,1,1.478,9.388,NA,49,110.258535,102.1754857,98,98,NA,NA,48.194,68.841,28.5,3711.32768
Bolivia,BOL,49.87436197,1,1,1,1,1,1,1,1,1,0,1,2.584,65.76,NA,164,99.61894989,99.57919312,NA,NA,17.56173897,16.19480324,68.722,82.306,41.2,3643.92827
Bosnia and Herzegovina,BIH,52.44093083,1,1,1,1,1,1,1,1,1,1,1,1.481,11.089,NA,12,87.23619843,88.38195038,99.69999695,99.69999695,12.67000008,11.89000034,32.6,54.039,NA,7655.59421
Botswana,BWA,50.07996256,0,1,1,1,0,1,1,1,1,0,0,2.785,54.585,NA,120,96.56955298,97.27285949,NA,NA,9.740984917,9.254153252,44.315,54.462,NA,8328.709057
Brazil,BRA,50.76282623,1,1,1,1,1,1,1,1,1,1,1,1.629,42.881,NA,104,103.5198822,104.3997269,99.55999756,99.01000214,NA,NA,47.661,68.161,52,9281.333344
British Virgin Islands,VGB,53.01931106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,14.539,NA,NA,100,102.3255768,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,46.81983183,1,0,1,0,0,1,0,1,1,0,0,1.764,8.589,NA,88,95.46253957,93.72636886,NA,NA,20.39950752,15.05446053,50.505,69.665,NA,36632.92804
Bulgaria,BGR,51.58914681,1,1,1,1,1,1,1,1,1,1,1,1.78,39.409,NA,10,95.73903656,96.02998352,NA,NA,30.28488159,22.10364914,48.595,60.398,38.2,13999.67192
Burkina Faso,BFA,50.19174741,1,1,1,1,1,1,1,1,1,1,1,4.275,88.56,33.96274036,316,83.33202362,81.41121674,51.68000031,55.56000137,1.124094605,3.089286566,38.957,51.056,NA,836.1183046
Burundi,BDI,50.33241632,1,1,1,1,0,1,1,1,1,1,1,4.98,54.08,NA,412,NA,NA,93.16000366,93.97000122,NA,NA,79.701,77.127,NA,250.6342254
