county,county_name,state_name,drug_deaths,totalpop,totalpop_males,totalpop_females,totalpop_males24oryounger,totalpop_females24oryounger,totalpop_white,totalpop_black,totalpop_hispanic,totalpop_asian,totalpop_indigenous,totalpop_pacificislander,totalpop_other,totalpop_racetwoormore,unemployed,education_everattendedcollege,belowpovertyline,meanhouseholdincome,medianhomevalue,nohealthins_under19,nohealthins_19to34,nohealthins_35to64,nohealthins_65andover
1003,Baldwin,Alabama,77,253507,124518,128989,36532,32123,208150,20974,14658,3074,952,395,5559,28806,2312,117800,11673,72915,307000,2199,5359,9385,144
1015,Calhoun,Alabama,58,116429,56185,60244,19400,18609,83530,25351,5540,1236,342,0,1428,9084,2801,45267,10598,50780,160900,114,4945,5005,85
1043,Cullman,Alabama,32,92016,45015,47001,13436,14273,82279,1022,4708,519,64,0,1557,13150,1628,34579,8468,58923,204000,627,3429,5568,0
1049,DeKalb,Alabama,20,72569,36341,36228,12569,11389,58067,634,12554,332,275,11,9339,7822,1156,21153,8205,43509,156800,NA,NA,NA,NA
1051,Elmore,Alabama,23,90441,44607,45834,14589,11978,65381,18189,3145,69,297,8,1479,10036,1084,36562,5335,72478,229900,849,2659,3007,0
1055,Etowah,Alabama,37,103241,48419,54822,13934,16522,79234,15605,5550,722,270,278,3030,8204,2932,38777,7994,52192,188200,1159,3470,6405,71
1069,Houston,Alabama,15,108462,52009,56453,17205,16116,69699,29753,5162,1121,61,42,2248,11076,2053,41044,7310,59335,187100,1273,4318,5098,10
1073,Jefferson,Alabama,417,662895,314100,348795,106260,107013,317840,280575,36277,12389,763,389,16133,69612,11195,299812,42437,64623,249000,8555,22134,30072,676
1077,Lauderdale,Alabama,29,96814,45967,50847,15098,16245,79801,6850,3403,1132,522,0,2639,11740,2207,37975,4771,64864,211700,493,2934,3281,52
1081,Lee,Alabama,33,183215,89149,94066,34786,34984,122425,41665,9862,7682,2248,119,1766,14620,4853,79199,14516,60358,280900,1343,7123,6673,0
1083,Limestone,Alabama,14,114654,57361,57293,17916,16763,83966,14636,8817,2239,1543,0,3216,18108,1850,53530,3128,81942,292500,959,3338,3296,44
1089,Madison,Alabama,111,412600,202585,210015,64615,63755,259448,99819,28150,11702,1619,145,11437,56860,5929,210452,17655,86192,316200,2883,11396,13944,362
1095,Marshall,Alabama,26,100756,50176,50580,18216,16097,79939,2603,17650,494,1170,31,9036,14966,1513,34006,7389,60298,199000,2983,2946,4631,0
