YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,COUNTYICP,GQ,PROPINSR,PROPTX99,RENTGRS,COSTELEC,COSTGAS,COSTWATR,HHINCOME,FOODSTMP,VALUEH,BUILTYR2,BEDROOMS,CINETHH,PERNUM,PERWT,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,CITIZEN,SPEAKENG,RACNUM,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,INCSS,INCWELFR,POVERTY,SPMCAPHOUS
2023,202301,518188,2.02E+12,290,390,1,80,4,0,1440,9990,520,85000,1,1700,6,5,1,1,280,MALE,61,4,1,100,0,0,0,3,1,6,63,1,10,85000,0,0,501,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,1,340,MALE,48,1,7,700,1,100,3,4,1,6,65,1,10,66000,0,0,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,2,410,FEMALE,44,1,7,700,1,100,2,5,1,6,65,1,10,3000,0,0,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,3,810,FEMALE,20,6,7,700,1,100,0,4,1,7,71,3,30,0,0,0,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,4,310,MALE,17,6,7,700,1,100,0,4,1,6,61,3,30,0,0,0,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,5,400,MALE,14,6,7,700,1,100,0,4,1,4,40,0,0,9999999,99999,99999,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,6,470,FEMALE,10,6,7,700,1,100,0,4,1,1,16,0,0,9999999,99999,99999,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,7,390,MALE,8,6,7,700,1,100,0,5,1,1,14,0,0,9999999,99999,99999,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,8,460,FEMALE,6,6,7,700,1,100,0,4,1,1,11,0,0,9999999,99999,99999,114,0
2023,202301,164938,2.02E+12,340,390,1,4,2,0,6000,2400,1100,69000,2,3500,9,6,1,9,390,MALE,5,6,7,700,1,100,0,4,1,1,11,0,0,9999999,99999,99999,114,0
2023,202301,1126328,2.02E+12,670,390,1,1,1,0,1920,120,9993,34000,1,4000,7,2,1,1,670,MALE,64,5,1,100,0,0,0,3,1,6,64,1,10,34000,0,0,219,0
2023,202301,1301618,2.02E+12,660,390,1,1,4,0,4200,960,9993,55000,1,4000,9,4,1,1,660,MALE,39,6,8,826,1,100,0,4,2,6,64,1,10,55000,0,0,354,0
2023,202301,1126538,2.02E+12,670,390,1,420,2,0,1440,9993,600,49490,1,7000,7,4,1,1,670,FEMALE,82,1,1,100,0,0,0,3,1,8,81,3,30,12490,12400,0,274,0
2023,202301,1126538,2.02E+12,670,390,1,420,2,0,1440,9993,600,49490,1,7000,7,4,1,2,610,MALE,84,1,1,100,0,0,0,3,1,8,81,3,30,37000,22900,0,274,0
