country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,877,"1,011","1,202","1,759","1,252","2,137","4,749","3,417","1,753","2,813","3,165","2,017","1,648","1,617","2,196","10,527","8,328","12,513","19,538","12,935","10,136","11,407","9,488","14,193"
Albania,"3,695","4,755","4,358","3,765","3,362","3,840","5,947","7,914","5,737","5,754","5,137","4,711","3,612","3,364","3,186","3,828","4,653","5,773","5,722","5,049","5,366","3,508","2,612","5,945"
Algeria,789,906,875,"1,030",759,805,"1,115","1,300","1,036","1,037","1,485","1,305","1,364","1,369","1,241","1,669","1,775","2,180","2,139","2,123","2,299","1,581","1,898","3,125"
Angola,57,87,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198,209,176,226,181,208,453
Anguilla,20,25,55,20,26,22,35,32,25,22,21,19,25,23,22,20,22,20,23,23,14,11,11,19
Antigua and Barbuda,454,429,461,380,301,414,440,570,415,444,437,359,368,337,344,369,290,324,322,325,323,190,201,280
Argentina,"1,387","2,317","3,297","3,661","3,129","4,805","7,081","7,327","5,645","5,353","5,780","4,399","4,473","4,359","4,372","3,874","3,730","4,091","3,482","3,080","3,925","2,970","3,248","4,128"
Armenia,"1,250","1,253","1,762","1,800","1,287","1,833","2,591","6,317","4,351","3,586","3,442","2,979","2,983","2,681","2,722","2,913","2,962","3,543","3,437","3,217","3,101","2,145","1,833","3,037"
Australia,"1,103","2,044","2,811","2,557","1,836","2,604","3,193","3,249","2,518","2,464","2,622","2,512","2,343","2,414","2,759","2,809","3,034","3,239","2,906","2,693","3,205","2,523","2,682","2,859"
Austria,230,405,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432,387,401,437,311,359,344
Azerbaijan,738,"1,036","1,152","1,164",746,969,"1,523","2,371","1,166","1,071",834,781,728,663,637,672,676,784,881,"1,015","1,169",814,545,"1,129"
Bahamas,398,766,924,808,423,586,698,847,738,682,751,652,668,619,630,654,725,656,725,759,922,614,997,767
Bahrain,70,106,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138,130,143,183,127,151,163
Bangladesh,"6,038","7,204","7,152","5,483","4,616","8,061","11,487","14,644","12,074","11,753","16,651","14,819","16,707","14,705","12,099","14,645","13,570","18,723","14,693","15,717","15,176","9,272","6,405","10,858"
Barbados,715,777,895,813,516,630,846,959,689,585,603,465,455,460,428,384,376,371,373,318,338,226,269,306
Belarus,"1,320","2,170","2,901","2,923","1,858","2,255","3,503","3,086","2,328","2,390","2,407","2,038","1,964","1,659","1,970","2,015","1,994","2,127","1,919","1,951","2,263","1,723","1,435","2,172"
Belgium,426,670,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691,625,537,714,629,601,552
Belize,572,757,936,966,588,871,876,"1,252","1,073","1,077","1,041",965,905,847,946,789,772,851,746,632,806,475,670,591
Benin,59,62,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577,648,573,619,450,467,721
Bhutan,4, NA ,5,14,15,17,30,78,52,42,594,"6,109","10,137","10,198","8,954","7,298","6,325","4,217","2,940","2,350","1,441","1,091",137,209
Bolivia,"1,444","1,761","1,819","1,664","1,376","1,768","2,197","4,025","2,590","2,436","2,837","2,253","2,173","1,948","2,071","1,719","1,626","1,595","1,510","1,523","1,525",976,"1,121","1,621"
Bosnia and Herzegovina,"5,412","11,525","23,594","25,329","6,155","10,552","14,074","3,789","1,569","1,491","1,501",946,878,815,697,693,859,971,846,682,637,477,478,506
Botswana,5,13,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78,112,72,61,43,58,58
Brazil,"3,887","6,943","9,448","9,439","6,331","10,556","16,662","17,903","14,295","12,195","14,701","12,258","11,763","11,441","11,033","10,429","11,424","13,812","14,989","15,394","19,825","16,746","18,351","24,169"
Brunei,16,16,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31,24,29,23,11,24,23
Bulgaria,"4,171","4,917","4,400","3,608","3,825","4,253","5,635","4,828","3,981","2,960","3,133","2,570","2,661","2,440","2,844","2,981","2,688","2,670","2,184","1,798","1,759","1,118","1,000","1,151"
Burkina Faso,17,48,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642,541,525,646,465,551,814
Burma,"1,200","1,201","1,373","1,356","1,193","1,379","2,095","4,562","3,130","3,403","13,621","12,925","16,518","17,383","12,565","11,144","12,808","13,065","12,897","8,182","5,024","4,000","2,143","2,879"
Burundi,16,28,79,120,74,100,186,320,257,255,"1,505",841,593,535,260,273,351,415,"1,094",762,781,"1,099",730,788
Cabo Verde,902,"1,079",868,871,745,"1,015","1,225","1,780","2,048","1,916","2,238","1,668","1,808","1,684","1,673","1,154","1,253","2,242","2,618","1,929","1,852",995,941,"1,119"
Cambodia,"1,394","2,138","2,462","2,800","2,263","3,553","4,022","5,773","4,246","3,713","3,771","2,986","2,745","2,473","2,624","2,536","1,868","3,173","4,056","3,187","2,748","1,593","1,762","3,400"
Cameroon,824,860,791,984,927,"1,309","1,458","2,919","3,392","3,771","3,463","4,161","4,754","3,815","3,908","3,943","4,374","4,899","4,668","4,236","4,369","2,842","3,578","5,879"
Canada,"8,782","16,057","21,752","19,352","11,350","15,569","21,878","18,207","15,495","15,109","16,140","13,328","12,800","12,932","13,181","11,586","12,673","12,793","11,484","9,898","11,388","9,526","9,978","11,317"
Cayman Islands,18,31,23,24,35,38,37,65,40,37,45,52,41,44,44,48,53,55,67,47,53,50,58,40
Central African Republic,3,4,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202,178,304,231,148,151,135
Chad,24,23,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136,205,251,224,111,100,174
Chile,"1,085","1,700","1,921","1,839","1,310","1,810","2,404","2,774","2,274","2,017","2,250","1,950","1,853","1,673","1,736","1,581","1,596","1,698","1,625","1,519","1,762","1,520","1,632","1,747"
China,"32,159","45,585","56,267","61,082","40,568","55,494","69,933","87,307","76,655","80,271","64,238","70,863","87,016","81,784","71,798","76,089","74,558","81,772","71,565","65,214","62,248","41,483","49,847","67,950"
Colombia,"9,928","14,427","16,627","18,758","14,720","18,846","25,566","43,144","33,187","30,213","27,849","22,406","22,635","20,931","21,131","18,175","17,316","18,610","17,956","17,545","19,841","11,989","15,293","21,723"
Comoros, NA , NA , NA , NA , NA , NA ,6,7,7, NA ,3,4,8,10, NA ,9,5,4,4,8,10,4,4, NA 
Costa Rica,883,"1,310","1,733","1,591","1,246","1,755","2,278","3,109","2,540","2,090","2,384","2,164","2,135","2,020","2,114","1,966","2,029","2,224","2,184","2,171","2,348","1,658","1,991","2,167"
Cote d'Ivoire,303,439,596,629,483,666,930,"2,067","1,193","1,645","2,159","1,621","1,302","1,760","1,486","1,477","1,497","1,617","1,810","1,375","1,589","1,049","1,207","1,559"
Croatia,580,"1,058","2,853","3,798","1,153","1,511","1,780",945,482,455,496,357,349,336,353,297,348,388,375,286,360,241,294,259
Cuba,"14,019","18,960","27,453","28,182","9,262","20,488","36,261","45,614","29,104","49,500","38,954","33,573","36,452","32,820","32,219","46,679","54,396","66,516","65,028","76,486","41,641","16,367","23,077","36,642"
Cyprus,106,160,216,158,123,143,196,180,137,141,142,122,101,107,126,129,113,131,117,120,111,105,102,90
